source_document,supplier_name,product_name,model_or_sku,inn,price_per_unit,currency,unit_of_measure,units_per_pack,price_per_pack,price_basis,derivation_note,overall_confidence,field_confidence,review_flags,extractor,source_locator
RE_RFQ-2026-0244_Novara_quotation.eml,Novara Farmaceutici S.p.A.,Azimax 250,,Azithromycin 250 mg,0.134,EUR,tablet,6,,stated,,medium,"price_per_unit=medium (The body quotes 0.128 per tablet; the P.S. corrects this to 0.134 per tablet as the current list price. Later figure used, 0.128 superseded.); price_per_unit=medium (email thread contains a later correction); model_or_sku=medium (no SKU or item code in source)","The body quotes 0.128 per tablet; the P.S. corrects this to 0.134 per tablet as the current list price. Later figure used, 0.128 superseded. | Message contains a correction or revision - verify the price used",email,body line 1 and P.S.
RE_RFQ-2026-0244_Novara_quotation.eml,Novara Farmaceutici S.p.A.,Zincora 20,,Zinc sulfate 20 mg,0.0155,EUR,tablet,100,1.55,derived,1.55 per pack / 100 tablet per pack,medium,"price_per_unit=high (Quoted as 1.55 per box of 100 tablets; no per-tablet price stated.); price_per_unit=medium (email thread contains a later correction); price_per_unit=medium (derived from pack price, not stated in source); model_or_sku=medium (no SKU or item code in source)",Quoted as 1.55 per box of 100 tablets; no per-tablet price stated. | Message contains a correction or revision - verify the price used,email,body line 2
RE_RFQ-2026-0244_Novara_quotation.eml,Novara Farmaceutici S.p.A.,Dexafar 4 mg/mL,,Dexamethasone sodium phosphate,0.41,EUR,ampoule,25,,stated,,medium,"price_per_unit=high (Quoted ex-stock, batch expiring 03/2028.); price_per_unit=medium (email thread contains a later correction); model_or_sku=medium (no SKU or item code in source)","Quoted ex-stock, batch expiring 03/2028. | Message contains a correction or revision - verify the price used",email,body line 3
farmaceutica_andina_proforma_FA-COT-2026-118.pdf,Farmaceutica Andina S.A.S.,Dolostop 500,01,Paracetamol,0.0091,USD,tablet,20,,stated,,medium,price_per_unit=medium (Unit price 0.0091 is the list price before the 3.0% discount shown in the Disc. % column; net is not stated separately),Unit price 0.0091 is the list price before the 3.0% discount shown in the Disc. % column; net is not stated separately,pdf,"page 1, schedule item 01"
farmaceutica_andina_proforma_FA-COT-2026-118.pdf,Farmaceutica Andina S.A.S.,Amlodin 5,02,Amlodipine besylate,0.0128,USD,tablet,30,,stated,,medium,price_per_unit=medium (Unit price 0.0128 is the list price before the 3.0% discount shown in the Disc. % column; net is not stated separately),Unit price 0.0128 is the list price before the 3.0% discount shown in the Disc. % column; net is not stated separately,pdf,"page 1, schedule item 02"
farmaceutica_andina_proforma_FA-COT-2026-118.pdf,Farmaceutica Andina S.A.S.,Losandina 50,03,Losartan potassium,0.0205,USD,tablet,30,,stated,,medium,price_per_unit=medium (Unit price 0.0205 is the list price before the 5.0% discount shown in the Disc. % column; net is not stated separately),Unit price 0.0205 is the list price before the 5.0% discount shown in the Disc. % column; net is not stated separately,pdf,"page 1, schedule item 03"
farmaceutica_andina_proforma_FA-COT-2026-118.pdf,Farmaceutica Andina S.A.S.,Amoxidina 250/5,04,Amoxicillin trihydrate,0.345,USD,bottle,1,,stated,,high,price_per_unit=high (model-reported),,pdf,"page 1, schedule item 04"
farmaceutica_andina_proforma_FA-COT-2026-118.pdf,Farmaceutica Andina S.A.S.,Enalten 10,05,Enalapril maleate,0.0074,USD,tablet,500,,stated,,medium,price_per_unit=medium (Unit price 0.0074 is the list price before the 5.0% discount shown in the Disc. % column; net is not stated separately),Unit price 0.0074 is the list price before the 5.0% discount shown in the Disc. % column; net is not stated separately,pdf,"page 1, schedule item 05"
farmaceutica_andina_proforma_FA-COT-2026-118.pdf,Farmaceutica Andina S.A.S.,Salbudina 2/5,06,Salbutamol sulfate,0.412,USD,bottle,1,,stated,,high,price_per_unit=high (model-reported),,pdf,"page 1, schedule item 06"
mekong_pharma_quotation_MKP-2026-0812.pdf,Mekong Pharma JSC,Mekamox 500/125,,Amoxicillin trihydrate + Clavulanic acid,0.0715,USD,tablet,20,1.43,stated,,high,price_per_unit=high (model-reported); model_or_sku=medium (no SKU or item code in source),,pdf,"page 1, line 1"
